station_id,name,capacity,lat,lon,no_classic_count,no_docks_count,problem_count,total_count,pct_no_classic,pct_no_docks,pct_problem,bin_no_classic,bin_no_docks,bin_problem
a3b2e72c-a135-11e9-9cda-0a87ae2ba916,Chicago Ave & Washington St,15,42.032562,-87.679101,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2ec43-a135-11e9-9cda-0a87ae2ba916,Elmwood Ave & Austin St,15,42.025784,-87.684107,0,2,2,10,0.0,20.0,20.0,0% to 9%,10% to 24%,10% to 24%
a3b2f15e-a135-11e9-9cda-0a87ae2ba916,Valli Produce - Evanston Plaza,15,42.039742,-87.699413,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2f698-a135-11e9-9cda-0a87ae2ba916,Dodge Ave & Church St,15,42.048308,-87.698224,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b2fbb6-a135-11e9-9cda-0a87ae2ba916,Central St Metra,15,42.063598,-87.69873,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b300d3-a135-11e9-9cda-0a87ae2ba916,Central St & Girard Ave,15,42.064313,-87.686152,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b305e7-a135-11e9-9cda-0a87ae2ba916,Chicago Ave & Sheridan Rd,15,42.050491,-87.677821,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b30b06-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Noyes St (NU),15,42.058239,-87.677432,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b310ac-a135-11e9-9cda-0a87ae2ba916,University Library (NU),15,42.052939,-87.673447,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b35885-a135-11e9-9cda-0a87ae2ba916,Keystone Ave & Fullerton Ave,11,41.92459,-87.72785,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b35e21-a135-11e9-9cda-0a87ae2ba916,Orleans St & Chestnut St (NEXT Apts),15,41.898203,-87.637536,1,0,1,10,10.0,0.0,10.0,10% to 24%,0% to 9%,10% to 24%
a3b3634c-a135-11e9-9cda-0a87ae2ba916,Aberdeen St & Randolph St,15,41.884114,-87.654264,8,0,8,10,80.0,0.0,80.0,75% to 89%,0% to 9%,75% to 89%
a3b3686c-a135-11e9-9cda-0a87ae2ba916,California Ave & Cortez St,15,41.900363,-87.696704,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
