is_returning,station_id,num_bikes_available,num_docks_available,num_docks_disabled,num_bikes_disabled,last_reported,num_ebikes_available,vehicle_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,vehicle_types_available,is_renting
1,da9e6779-5056-4d45-bae3-9dc325ed2807,8,3,0,0,1700155504,1,"[{'count': 3, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3b1d532-a135-11e9-9cda-0a87ae2ba916,0,11,0,0,1700155504,0,"[{'count': 11, 'vehicle_type_ids': ['1', '2']}]",1,,,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3af2737-a135-11e9-9cda-0a87ae2ba916,10,6,0,0,1700155503,1,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 9, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3af8123-a135-11e9-9cda-0a87ae2ba916,7,5,0,3,1700155503,1,"[{'count': 5, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3afb401-a135-11e9-9cda-0a87ae2ba916,5,10,0,0,1700155500,1,"[{'count': 10, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3aae35a-a135-11e9-9cda-0a87ae2ba916,8,4,0,3,1700155511,1,"[{'count': 4, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,14,1,0,0,1700155507,4,"[{'count': 1, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 10, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,9,2,0,0,1700155508,2,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",1
1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,3,17,0,0,1700155508,1,"[{'count': 17, 'vehicle_type_ids': ['1', '2', '3']}]",1,2.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 2, 'vehicle_type_id': '3'}]",1
1,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,5,10,0,0,1700155506,4,"[{'count': 10, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
1,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,7,7,0,1,1700155506,2,"[{'count': 7, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",1
1,a3b13e66-a135-11e9-9cda-0a87ae2ba916,3,8,0,0,1700155505,0,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3acea44-a135-11e9-9cda-0a87ae2ba916,4,6,0,1,1700155508,0,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a565b1-a135-11e9-9cda-0a87ae2ba916,6,3,0,2,1700155510,0,"[{'count': 3, 'vehicle_type_ids': ['1', '2', '3']}]",1,7.0,1.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 7, 'vehicle_type_id': '3'}]",1
1,a3b11480-a135-11e9-9cda-0a87ae2ba916,6,5,0,0,1700155510,1,"[{'count': 5, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,6,4,0,0,1700155507,3,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,792ceba0-564f-4a2c-bcb5-90da781ffeef,7,4,0,3,1700155514,1,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3a8804b-a135-11e9-9cda-0a87ae2ba916,16,3,0,0,1700155514,3,"[{'count': 3, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 13, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,0,28,0,3,1700155512,0,"[{'count': 28, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,1867616662773391950,8,6,0,1,1700155512,7,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 7, 'vehicle_type_id': '2'}]",1
1,1799277526470631980,9,6,0,0,1700155513,3,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,17,8,1,4,1700155516,0,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 17, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a96aca-a135-11e9-9cda-0a87ae2ba916,9,0,0,0,1700155516,7,"[{'count': 0, 'vehicle_type_ids': ['1', '2', '3']}]",1,1.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 7, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1
1,a3a5700b-a135-11e9-9cda-0a87ae2ba916,4,20,0,3,1700155516,2,"[{'count': 20, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3afd294-a135-11e9-9cda-0a87ae2ba916,6,8,0,1,1700155517,0,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a79adb-a135-11e9-9cda-0a87ae2ba916,3,22,0,0,1700155525,2,"[{'count': 22, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,1850868044363584392,15,0,0,0,1700155525,3,"[{'count': 0, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 12, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,6,4,0,0,1700155519,2,"[{'count': 4, 'vehicle_type_ids': ['1', '2', '3']}]",1,1.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",1
1,a3acdae2-a135-11e9-9cda-0a87ae2ba916,5,6,0,0,1700155524,1,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,6,8,0,0,1700155522,0,"[{'count': 8, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,6,7,0,0,1700155523,2,"[{'count': 7, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,1.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,7,8,0,0,1700155524,1,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,5,2,0,0,1700155528,0,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,1,12,0,0,1700155529,1,"[{'count': 12, 'vehicle_type_ids': ['1', '2', '3']}]",1,2.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 2, 'vehicle_type_id': '3'}]",1
1,a3a72012-a135-11e9-9cda-0a87ae2ba916,4,6,0,1,1700155531,2,"[{'count': 6, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,20,2,0,1,1700155527,0,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 20, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3a80512-a135-11e9-9cda-0a87ae2ba916,5,13,0,1,1700155527,0,"[{'count': 13, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3acb1de-a135-11e9-9cda-0a87ae2ba916,7,4,0,0,1700155526,0,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
