station_id,is_installed,is_returning,num_docks_available,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
a3a48d5c-a135-11e9-9cda-0a87ae2ba916,1,1,14,1,2,0,1,8,0.0,0.0,06/29/2024 12:08 AM,6,2,0
a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,1,1,0,1,2,0,4,9,2.0,0.0,06/29/2024 12:08 AM,7,2,2
1882466626513795782,1,1,0,1,5,0,4,11,0.0,0.0,06/29/2024 12:08 AM,6,5,0
a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,1,2,1,2,0,2,16,3.0,0.0,06/29/2024 12:08 AM,14,2,0
a3b1c47b-a135-11e9-9cda-0a87ae2ba916,1,1,5,1,2,0,1,5,0.0,0.0,06/29/2024 12:08 AM,3,2,0
1936553212713581016,1,1,5,1,0,0,0,3,7.0,0.0,06/29/2024 12:08 AM,3,0,0
a3aabad8-a135-11e9-9cda-0a87ae2ba916,1,1,4,1,0,0,4,10,1.0,0.0,06/29/2024 12:08 AM,10,0,0
a3a97a01-a135-11e9-9cda-0a87ae2ba916,1,1,5,1,0,0,1,9,0.0,0.0,06/29/2024 12:08 AM,9,0,0
90011328-f7bd-4b7b-8f95-8204a0b50f27,1,1,8,1,0,0,1,2,0.0,0.0,06/29/2024 12:08 AM,2,0,0
1934289130932983934,1,1,3,1,0,0,0,12,0.0,0.0,06/29/2024 12:08 AM,12,0,0
a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,1,3,1,0,0,1,6,5.0,0.0,06/29/2024 12:08 AM,6,0,5
1934289944388426278,1,1,9,1,0,0,2,3,1.0,0.0,06/29/2024 12:08 AM,3,0,0
a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,1,1,9,1,1,0,1,4,1.0,0.0,06/29/2024 12:08 AM,3,1,0
a3a79adb-a135-11e9-9cda-0a87ae2ba916,1,1,5,1,8,0,2,20,0.0,0.0,06/29/2024 12:08 AM,12,8,0
759171ce-f355-4740-948d-e14bb8f7dc0e,1,1,5,1,3,0,1,9,0.0,0.0,06/29/2024 12:08 AM,6,3,0
a3b419d9-a135-11e9-9cda-0a87ae2ba916,1,1,9,1,1,0,2,3,1.0,0.0,06/29/2024 12:09 AM,2,1,1
a3b477ac-a135-11e9-9cda-0a87ae2ba916,1,1,5,1,4,0,0,8,1.0,0.0,06/29/2024 12:08 AM,4,4,0
a3a6c38e-a135-11e9-9cda-0a87ae2ba916,1,1,3,1,3,0,0,15,0.0,0.0,06/29/2024 12:08 AM,12,3,0
a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,1,1,6,1,1,0,1,20,0.0,0.0,06/29/2024 12:08 AM,19,1,0
a3ad13e4-a135-11e9-9cda-0a87ae2ba916,1,1,0,1,1,0,3,6,2.0,0.0,06/29/2024 12:08 AM,5,1,2
