vehicle_docks_available,num_bikes_disabled,num_scooters_available,num_docks_available,num_docks_disabled,is_installed,is_renting,last_reported,num_bikes_available,num_scooters_unavailable,vehicle_types_available,num_ebikes_available,station_id,is_returning
"[{'vehicle_type_ids': ['1', '2'], 'count': 11}]",0,,11,0,1,1,1700170597,0,,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3b1d532-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 11}]",0,0.0,11,0,1,1,1700170597,4,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3afb401-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 4}]",3,0.0,4,0,1,1,1700170595,8,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",3,a3af8123-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 9}]",0,0.0,9,0,1,1,1700170596,2,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3b29fae-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 3}]",0,0.0,3,0,1,1,1700170599,12,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 6, 'vehicle_type_id': '2'}]",6,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 9}]",5,0.0,9,0,1,1,1700170600,13,0.0,"[{'count': 10, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",3,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 3}]",1,0.0,3,0,1,1,1700170607,15,0.0,"[{'count': 12, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",3,a3a8804b-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 5}]",4,0.0,5,1,1,1,1700170608,20,0.0,"[{'count': 20, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 8}]",0,0.0,8,0,1,1,1700170608,3,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3b13e66-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 4}]",1,0.0,4,0,1,1,1700170601,10,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 8, 'vehicle_type_id': '2'}]",8,1867616662773391950,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 6}]",0,0.0,6,0,1,1,1700170604,9,0.0,"[{'count': 9, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",0,a3aae35a-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 27}]",2,0.0,27,0,1,1,1700170605,2,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",0,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 4}]",3,0.0,4,0,1,1,1700170605,7,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,792ceba0-564f-4a2c-bcb5-90da781ffeef,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 0}]",0,1.0,0,0,1,1,1700170607,9,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 7, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",7,a3a96aca-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 7}]",1,0.0,7,0,1,1,1700170610,7,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3afd294-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 23}]",3,0.0,23,0,1,1,1700170610,1,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1,a3a5700b-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 4}]",0,0.0,4,0,1,1,1700170609,6,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",3,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,1
