Capacity,Station Type,Lon,Lat,Short Name,Name
15,classic,-87.7066499,41.94524357,15631,Troy St & Elston Ave
15,classic,-87.663712,41.920771,TA1309000030,Southport Ave & Clybourn Ave
11,classic,-87.64872462,41.88318131,13053,Green St & Washington Blvd
11,classic,-87.683593,41.991178,KA1504000155,2112 W Peterson Ave
27,classic,-87.688257,41.8895,15664,Artesian Ave & Hubbard St
19,classic,-87.65103,41.871737,TA1307000130,Morgan St & Polk St
11,classic,-87.575225,41.743921,588,South Chicago Ave & 83rd St
15,classic,-87.53084421,41.71370983,20224,Calumet Park
11,classic,-87.682437,41.917805,TA1309000029,Leavitt St & Armitage Ave
15,classic,-87.749458,41.91676,21357,Lamon Ave & Armitage Ave
19,classic,-87.678435,41.903266,13136,Damen Ave & Division St
15,classic,-87.698224,42.048308,600,Dodge Ave & Church St
11,classic,-87.52823174,41.70457509,20222,Burnham Greenway & 105th St
11,classic,-87.614138,41.758361,571,Vernon Ave & 75th St
11,classic,-87.596479,41.789381,22002,Woodlawn Ave & 58th St
15,classic,-87.66560986,41.83920868,15442,Ashland Ave & Archer Ave
15,classic,-87.673055,41.746534,23120,Damen Ave & 81st St
11,classic,-87.624424,41.750794,573,State St & 79th St
11,classic,-87.65743495,41.84163254,KA1503000040,Loomis St & Archer Ave
19,classic,-87.62279838,41.89434514,13016,St. Clair St & Erie St
11,classic,-87.56506,41.744531,582,Phillips Ave & 83rd St
15,classic,-87.696704,41.900363,17660,California Ave & Cortez St
19,classic,-87.64274597,41.88032963,WL-011,Jefferson St & Monroe St
11,classic,-87.586853,41.780506,653B,Stony Island Ave & 63rd St
11,classic,-87.595751,41.75916,569,Woodlawn Ave & 75th St
15,classic,-87.7093108,41.95358618,KA1504000096,Sawyer Ave & Irving Park Rd
27,classic,-87.58394501,41.79172821,KA1503000074,Museum of Science and Industry
15,classic,-87.62105227,41.68701479,20243,Michigan Ave & 114th St
19,classic,-87.632326,41.894877,KP1705001026,LaSalle Dr & Huron St
7,classic,-87.650919,41.77987,18025,Carpenter St & 63rd St
23,classic,-87.68129736,41.69121103,20205,Western Ave & 111th St
11,classic,-87.745261,41.886841,16903,Cicero Ave & Lake St
11,classic,-87.585337,41.751173,577,Stony Island Ave & South Chicago Ave
19,classic,-87.673573,42.019159,515,Paulina St & Howard St
15,classic,-87.54938625,41.75787145,KA1503000049.1,Rainbow - Beach
15,classic,-87.702292,41.760703,23136,Kedzie Ave & 73rd St
39,classic,-87.62952092,41.88131981,TA1305000006,Dearborn St & Monroe St
15,classic,-87.63182298,41.83452989,15445,Wentworth Ave & 33rd St
15,classic,-87.687022,41.91552,13068,Western Ave & Winnebago Ave
39,classic,-87.629634,41.884241,TA1306000010,Daley Center Plaza
11,classic,-87.666589,41.813996,549,Marshfield Ave & 44th St
15,classic,-87.703007,41.772584,23143,Kedzie Ave & 66th Pl
11,classic,-87.713949,41.949923,18016,Bernard St & Elston Ave
15,classic,-87.601252,41.73648,20116,Dauphin Ave & 87th St
15,classic,-87.567514,41.773643,KA1503000029,South Shore Dr & 67th St
15,classic,-87.668106,41.741192,23124,Wood St & 84th St
7,classic,-87.650931,41.823613,16933,Morgan St & Pershing Rd
43,classic,-87.639904,41.879255,13011,Canal St & Adams St
23,classic,-87.61379153,41.85741179,15545,Burnham Harbor
15,classic,-87.631942,41.911974,13128,Clark St & North Ave
11,classic,-87.675005,42.015963,517,Clark St & Jarvis Ave
19,classic,-87.66729087,41.96708784,TA1309000014,Clark St & Leland Ave
27,classic,-87.63087606,41.88602083,KA1503000012,Clark St & Lake St
23,classic,-87.625961,41.867227,TA1305000002,Wabash Ave & Roosevelt Rd
11,classic,-87.63547987,41.89102331,RN-,Franklin St & Illinois St
11,classic,-87.656952,41.883073,654,Racine Ave & Washington Blvd
11,classic,-87.70649618,41.86649278,15682,Kedzie Ave & Roosevelt Rd
19,classic,-87.580715,41.795212,TA1308000009,Shore Dr & 55th St
15,classic,-87.672861,41.736044,23121,Damen Ave & 87th St
19,classic,-87.64961779,41.8776416,13158,Peoria St & Jackson Blvd
35,classic,-87.624398,41.886022,TA1305000011,Michigan Ave & Lake St
15,classic,-87.662607,41.9007,13290,Noble St & Milwaukee Ave
19,classic,-87.596471,41.795264,TA1307000164,Woodlawn Ave & 55th St
15,classic,-87.661406,42.004583,660,Sheridan Rd & Columbia Ave
23,classic,-87.60829568,41.71896342,20106,Chicago State University
15,classic,-87.6991877,42.03463185,E011,Dodge Ave & Main St
15,classic,-87.649077,41.929143,TA1309000061,Halsted St & Wrightwood Ave
15,classic,-87.64261186,41.69226256,20127,Halsted St & 111th St
11,classic,-87.72785,41.92459,16010,Keystone Ave & Fullerton Ave
23,classic,-87.659172,41.95078,TA1307000127,Clark St & Grace St
7,classic,-87.621748,41.765286,651,Michigan Ave & 71st St
15,classic,-87.689556,41.910535,13257,Campbell Ave & North Ave
11,classic,-87.64462081,41.77938114,KA1503000055,Halsted St & 63rd St
15,classic,-87.710121,41.764354,23138,St. Louis & 71st St
15,classic,-87.683485,42.048214,596,Benson Ave & Church St
15,classic,-87.666507,41.865234,13354,Ashland Ave & 13th St
15,classic,-87.59880066,41.65666553,20212,Altgeld Gardens
23,classic,-87.667968,41.91461,18067,Walsh Park
11,classic,-87.664429,41.792822,16943,Ashland Ave & Garfield Blvd
15,classic,-87.55972624,41.70280085,20221,Torrence Ave & 106th St
15,classic,-87.63724208,41.88314336,KA1503000072,Wacker Dr & Washington St
15,classic,-87.592464,41.805772,KA1503000069,Dorchester Ave & 49th St
15,classic,-87.56627619,41.72616639,20237,Yates Blvd & 93rd St
11,classic,-87.68291264,42.01213228,RP-006,Ridge Blvd & Touhy Ave
11,classic,-87.711217,41.997136,23101,McCormick Blvd & Devon Ave
43,classic,-87.63188991,41.88457623,TA1305000030,Clark St & Randolph St
15,classic,-87.638888,41.922167,13191,Sedgwick St & Webster Ave
23,classic,-87.64883,41.919936,13192,Halsted St & Dickens Ave
15,classic,-87.686152,42.064313,E007,Central St & Girard Ave
23,classic,-87.62377664,41.90096039,13042,Michigan Ave & Oak St
43,classic,-87.612043,41.892278,13022,Streeter Dr & Grand Ave
15,classic,-87.66593635,41.93258963,13294,Greenview Ave & Diversey Pkwy
15,classic,-87.673447,42.052939,605,University Library (NU)
19,classic,-87.68870428,41.9663998,TA1307000140,Western Ave & Leland Ave
11,classic,-87.66454,41.80887,16937,Ashland Ave & McDowell Ave
19,classic,-87.66098386,41.89637337,13289,Eckhart Park
15,classic,-87.64242411,41.70513979,20125,Halsted St & 104th St
7,classic,-87.663815,41.774074,16950,Ashland Ave & 66th St
15,classic,-87.658617,41.932225,TA1307000064,Lincoln Ave & Diversey Pkwy
15,classic,-87.67328,41.87501,13081,Ogden Ave & Congress Pkwy
11,classic,-87.675478,41.794087,557,Seeley Ave & Garfield Blvd
15,classic,-87.69363849,41.96590014,KA1504000093,Rockwell St & Eastwood Ave
15,classic,-87.640552,41.904613,TA1307000115,Clybourn Ave & Division St
15,classic,-87.68060446,41.82879202,KA1503000068,Leavitt St & Archer Ave
19,classic,-87.6319313,41.85308456,13075,Wentworth Ave & Cermak Rd
15,classic,-87.71206766,41.93939395,KA150400009X,Kimball Ave & Belmont Ave
15,classic,-87.64390216,41.75248701,20233,Halsted St & 78th St
15,classic,-87.677432,42.058239,604,Sheridan Rd & Noyes St (NU)
23,classic,-87.62590803,41.89576475,15530,Rush St & Superior St
15,classic,-87.71663195,41.90965688,15652,Central Park Ave & North Ave
15,classic,-87.66430289,42.0192025,523,Eastlake Ter & Howard St
11,classic,-87.664699,41.803023,16940,Ashland Ave & 50th St
