num_bikes_disabled,is_renting,is_installed,num_scooters_unavailable,num_ebikes_available,station_id,num_docks_available,num_bikes_available,is_returning,num_scooters_available,num_docks_disabled,timestamp,n_classic,n_electric,n_scooters
1,1,1,0.0,1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,6,4,1,0.0,0,01/11/2024 10:10 AM,3,1,0
2,1,1,0.0,0,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,6,7,1,0.0,0,01/11/2024 10:10 AM,7,0,0
1,1,1,0.0,0,759171ce-f355-4740-948d-e14bb8f7dc0e,6,8,1,0.0,0,01/11/2024 10:10 AM,8,0,0
0,1,1,0.0,0,1879436840905128284,8,7,1,0.0,0,01/11/2024 10:10 AM,7,0,0
0,1,1,0.0,0,a3af9a83-a135-11e9-9cda-0a87ae2ba916,2,13,1,0.0,0,01/11/2024 10:10 AM,13,0,0
3,1,1,0.0,0,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,6,6,1,4.0,0,01/11/2024 10:10 AM,6,0,4
1,1,1,0.0,0,430d5876-c44d-446e-ac53-065da9fb9c17,5,2,1,0.0,0,01/11/2024 10:10 AM,2,0,0
2,1,1,0.0,0,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,7,6,1,0.0,0,01/11/2024 10:10 AM,6,0,0
1,1,1,0.0,3,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,6,8,1,0.0,0,01/11/2024 10:10 AM,5,3,0
0,1,1,0.0,4,a3b47cbc-a135-11e9-9cda-0a87ae2ba916,8,6,1,1.0,0,01/11/2024 10:10 AM,2,4,1
0,1,1,0.0,0,a3a62aad-a135-11e9-9cda-0a87ae2ba916,12,7,1,0.0,0,01/11/2024 10:11 AM,7,0,0
0,1,1,0.0,4,a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,7,8,1,0.0,0,01/11/2024 10:11 AM,4,4,0
0,1,1,0.0,0,a3ac1607-a135-11e9-9cda-0a87ae2ba916,13,2,1,0.0,0,01/11/2024 10:11 AM,2,0,0
1,1,1,0.0,5,a3b3634c-a135-11e9-9cda-0a87ae2ba916,5,9,1,0.0,0,01/11/2024 10:11 AM,4,5,0
1,1,1,0.0,8,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,4,10,1,0.0,0,01/11/2024 10:11 AM,2,8,0
3,1,1,0.0,4,a3a614ad-a135-11e9-9cda-0a87ae2ba916,7,20,1,1.0,0,01/11/2024 10:10 AM,16,4,1
2,1,1,0.0,8,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,0,25,1,0.0,0,01/11/2024 10:10 AM,17,8,0
0,1,1,0.0,3,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,3,16,1,0.0,0,01/11/2024 10:10 AM,13,3,0
0,1,1,0.0,0,4843d153-c725-4230-a4c7-402da6a62143,0,12,1,0.0,0,01/11/2024 10:10 AM,12,0,0
0,1,1,0.0,1,a3ab86b6-a135-11e9-9cda-0a87ae2ba916,16,7,1,0.0,0,01/11/2024 10:10 AM,6,1,0
1,1,1,0.0,1,a3afb401-a135-11e9-9cda-0a87ae2ba916,5,9,1,0.0,0,01/11/2024 10:10 AM,8,1,0
2,1,1,0.0,1,a3a565b1-a135-11e9-9cda-0a87ae2ba916,8,8,1,0.0,0,01/11/2024 10:10 AM,7,1,0
1,1,1,0.0,2,a3b419d9-a135-11e9-9cda-0a87ae2ba916,5,8,1,1.0,0,01/11/2024 10:10 AM,6,2,1
0,1,1,0.0,1,a3ac7444-a135-11e9-9cda-0a87ae2ba916,11,3,1,1.0,0,01/11/2024 10:10 AM,2,1,1
0,1,1,0.0,2,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,10,5,1,0.0,0,01/11/2024 10:10 AM,3,2,0
0,1,1,0.0,0,a60781db-2bec-4a15-a4a2-363297aefcec,12,3,1,0.0,0,01/11/2024 10:10 AM,3,0,0
8,1,1,0.0,21,a3ab9119-a135-11e9-9cda-0a87ae2ba916,0,39,1,0.0,0,01/11/2024 10:10 AM,18,21,0
2,1,1,0.0,0,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,24,5,1,0.0,0,01/11/2024 10:10 AM,5,0,0
0,1,1,0.0,1,1871992980799203880,13,2,1,0.0,0,01/11/2024 10:10 AM,1,1,0
0,1,1,0.0,1,a3b23785-a135-11e9-9cda-0a87ae2ba916,6,5,1,0.0,0,01/11/2024 10:10 AM,4,1,0
1,1,1,0.0,1,a3a62566-a135-11e9-9cda-0a87ae2ba916,14,4,1,0.0,0,01/11/2024 10:10 AM,3,1,0
0,1,1,0.0,4,a3b222fc-a135-11e9-9cda-0a87ae2ba916,2,9,1,0.0,0,01/11/2024 10:10 AM,5,4,0
1,1,1,0.0,0,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,4,10,1,0.0,0,01/11/2024 10:10 AM,10,0,0
1,1,1,0.0,3,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,5,9,1,0.0,0,01/11/2024 10:10 AM,6,3,0
3,1,1,0.0,1,a3a795d7-a135-11e9-9cda-0a87ae2ba916,8,7,1,1.0,0,01/11/2024 10:10 AM,6,1,1
0,1,1,0.0,2,a3a8804b-a135-11e9-9cda-0a87ae2ba916,12,7,1,0.0,0,01/11/2024 10:10 AM,5,2,0
0,1,1,0.0,0,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,4,11,1,0.0,0,01/11/2024 10:10 AM,11,0,0
1,1,1,0.0,0,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,8,2,1,0.0,0,01/11/2024 10:10 AM,2,0,0
1,1,1,0.0,1,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,6,8,1,0.0,0,01/11/2024 10:10 AM,7,1,0
2,1,1,0.0,1,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,16,13,1,0.0,0,01/11/2024 10:10 AM,12,1,0
1,1,1,0.0,1,a3aae35a-a135-11e9-9cda-0a87ae2ba916,8,6,1,0.0,0,01/11/2024 10:10 AM,5,1,0
0,1,1,0.0,2,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0,01/11/2024 10:10 AM,1,2,0
0,1,1,0.0,3,ff21c158-de98-46c6-9ef7-7082bdb7c634,11,4,1,0.0,0,01/11/2024 10:10 AM,1,3,0
2,1,1,0.0,0,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,14,7,1,0.0,0,01/11/2024 10:11 AM,7,0,0
