num_bikes_available,station_id,num_docks_available,num_bikes_disabled,num_scooters_unavailable,is_renting,is_installed,is_returning,num_ebikes_available,num_docks_disabled,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
12,a3a859c4-a135-11e9-9cda-0a87ae2ba916,5,0,1.0,1,1,1,2,0,1.0,07/27/2024 01:09 AM,10,2,1
1,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,1,0,0
0,a3acdae2-a135-11e9-9cda-0a87ae2ba916,2,9,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,0,0,0
6,a3a565b1-a135-11e9-9cda-0a87ae2ba916,13,0,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,4,2,0
9,1867616662773391950,6,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,9,0,0
19,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,2,0,1.0,1,1,1,6,0,1.0,07/27/2024 01:09 AM,13,6,0
14,a3b419d9-a135-11e9-9cda-0a87ae2ba916,0,0,0.0,1,1,1,7,0,1.0,07/27/2024 01:09 AM,7,7,1
7,1929967657204564894,5,3,0.0,1,1,1,6,0,0.0,07/27/2024 01:09 AM,1,6,0
11,a3b01a86-a135-11e9-9cda-0a87ae2ba916,0,2,0.0,1,1,1,3,0,2.0,07/27/2024 01:09 AM,8,3,0
4,792ceba0-564f-4a2c-bcb5-90da781ffeef,10,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
4,1929905600854819414,11,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
5,a3b3915a-a135-11e9-9cda-0a87ae2ba916,1,0,0.0,1,1,1,1,0,13.0,07/27/2024 01:09 AM,4,1,13
9,1942118582722085548,3,3,0.0,1,1,1,7,0,0.0,07/27/2024 01:09 AM,2,7,0
1,ff21c158-de98-46c6-9ef7-7082bdb7c634,12,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,1,0,0
12,1934289944388426278,3,0,0.0,1,1,1,8,0,0.0,07/27/2024 01:08 AM,4,8,0
4,1963671811736140038,10,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:08 AM,4,0,0
1,a3b1d532-a135-11e9-9cda-0a87ae2ba916,9,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,1,0,0
4,1943244109954931024,9,2,0.0,1,1,1,3,0,0.0,07/27/2024 01:09 AM,1,3,0
10,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,5,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,9,1,0
3,a3a547b8-a135-11e9-9cda-0a87ae2ba916,12,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,2,1,0
6,a3a96aca-a135-11e9-9cda-0a87ae2ba916,5,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,6,0,0
11,a3af52bc-a135-11e9-9cda-0a87ae2ba916,5,6,0.0,1,1,1,6,0,1.0,07/27/2024 01:09 AM,5,6,0
4,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,9,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
13,a3a8855c-a135-11e9-9cda-0a87ae2ba916,6,4,0.0,1,1,1,2,0,2.0,07/27/2024 01:09 AM,11,2,0
4,a3af9a83-a135-11e9-9cda-0a87ae2ba916,10,1,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,2,2,0
1,a3b23785-a135-11e9-9cda-0a87ae2ba916,7,3,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,1,0,0
9,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,6,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,9,0,0
3,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,11,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,2,1,0
16,a3b48c07-a135-11e9-9cda-0a87ae2ba916,0,1,0.0,1,1,1,3,0,2.0,07/27/2024 01:09 AM,13,3,0
10,a3aae35a-a135-11e9-9cda-0a87ae2ba916,2,2,1.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,9,1,0
3,1879436840905128284,9,3,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,3,0,0
3,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,14,1,0.0,1,1,1,2,0,1.0,07/27/2024 01:09 AM,1,2,0
12,a3afb401-a135-11e9-9cda-0a87ae2ba916,1,2,0.0,1,1,1,7,0,0.0,07/27/2024 01:09 AM,5,7,0
9,a3a75885-a135-11e9-9cda-0a87ae2ba916,14,1,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,7,2,0
2,a3b477ac-a135-11e9-9cda-0a87ae2ba916,10,2,0.0,1,1,1,0,0,1.0,07/27/2024 01:09 AM,2,0,0
11,a3a79adb-a135-11e9-9cda-0a87ae2ba916,13,0,0.0,1,1,1,0,0,4.0,07/27/2024 01:09 AM,11,0,3
1,94788869-1849-43f6-99e1-2eacbc3fab03,15,2,1.0,1,1,1,0,1,0.0,07/27/2024 01:09 AM,1,0,0
2,1890605196211329420,2,3,0.0,1,1,1,1,0,8.0,07/27/2024 01:09 AM,1,1,0
5,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,11,2,0.0,1,1,1,0,0,1.0,07/27/2024 01:09 AM,5,0,1
0,a3b20960-a135-11e9-9cda-0a87ae2ba916,4,3,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,0,0,0
0,a3b13e66-a135-11e9-9cda-0a87ae2ba916,10,0,0.0,1,1,1,0,0,1.0,07/27/2024 01:09 AM,0,0,0
4,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,1,5,0.0,1,1,1,2,0,0.0,07/27/2024 01:09 AM,2,2,0
9,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,12,2,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,9,0,0
