num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
2,0,1,2,1,a3b148bf-a135-11e9-9cda-0a87ae2ba916,4,0.0,1.0,1,5,06/20/2024 10:08 PM,3,2,0
0,0,1,2,1,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,12,0.0,0.0,1,1,06/20/2024 10:08 PM,1,0,0
0,0,1,5,1,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,9,06/20/2024 10:08 PM,9,0,0
0,0,1,1,1,a3b2862e-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:08 PM,4,0,0
2,0,1,4,1,4843d153-c725-4230-a4c7-402da6a62143,9,0.0,0.0,1,3,06/20/2024 10:09 PM,1,2,0
0,0,1,0,1,a3b23785-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,9,06/20/2024 10:09 PM,9,0,0
1,0,1,0,1,a3a97a01-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,10,06/20/2024 10:09 PM,9,1,0
9,0,1,2,1,1929905600854819414,1,0.0,1.0,1,11,06/20/2024 10:09 PM,2,9,0
0,0,1,0,1,1943245395846580390,14,0.0,0.0,1,1,06/20/2024 10:09 PM,1,0,0
0,0,1,1,1,a3a497b6-a135-11e9-9cda-0a87ae2ba916,7,0.0,2.0,1,9,06/20/2024 10:09 PM,9,0,2
1,0,1,0,1,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,6,0.0,1.0,1,11,06/20/2024 10:09 PM,10,1,0
2,0,1,0,1,a3b01a86-a135-11e9-9cda-0a87ae2ba916,9,0.0,2.0,1,4,06/20/2024 10:09 PM,2,2,0
1,0,1,1,1,1871993715238611622,10,0.0,0.0,1,4,06/20/2024 10:09 PM,3,1,0
1,0,1,0,1,a3b2905a-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,6,06/20/2024 10:09 PM,5,1,0
1,0,1,8,1,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,0,0.0,0.0,1,6,06/20/2024 10:09 PM,5,1,0
3,0,1,0,1,a3a99d47-a135-11e9-9cda-0a87ae2ba916,13,0.0,1.0,1,9,06/20/2024 10:09 PM,6,3,1
2,0,1,0,1,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,2,0.0,9.0,1,4,06/20/2024 10:09 PM,2,2,9
0,0,1,1,1,1871992980799203880,10,0.0,0.0,1,4,06/20/2024 10:09 PM,4,0,0
10,0,1,0,1,1942117929887056608,2,0.0,0.0,1,13,06/20/2024 10:09 PM,3,10,0
1,0,1,2,1,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,9,06/20/2024 10:09 PM,8,1,0
1,0,1,2,1,a3a528d0-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,4,06/20/2024 10:09 PM,3,1,0
0,0,1,2,1,1862806445904101456,16,0.0,0.0,1,21,06/20/2024 10:09 PM,21,0,0
0,0,1,0,1,a3b47cbc-a135-11e9-9cda-0a87ae2ba916,6,0.0,7.0,1,2,06/20/2024 10:09 PM,2,0,7
5,0,1,2,1,a3b48c07-a135-11e9-9cda-0a87ae2ba916,0,0.0,5.0,1,12,06/20/2024 10:09 PM,7,5,0
6,0,1,1,1,1942118582722085548,6,0.0,0.0,1,8,06/20/2024 10:09 PM,2,6,0
3,0,1,2,1,a3a8855c-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,17,06/20/2024 10:09 PM,14,3,0
0,0,1,0,1,1934289361049585738,10,0.0,0.0,1,5,06/20/2024 10:09 PM,5,0,0
2,0,1,0,1,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,11,06/20/2024 10:09 PM,9,2,0
3,0,1,2,1,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,2,0.0,1.0,1,6,06/20/2024 10:09 PM,3,3,1
2,0,1,1,1,a3b24701-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,5,06/20/2024 10:09 PM,3,2,0
0,0,1,3,1,a3ac7444-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,11,06/20/2024 10:09 PM,11,0,0
5,0,1,2,1,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,7,0.0,0.0,1,10,06/20/2024 10:09 PM,5,5,0
0,0,1,0,1,a3b20960-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,5,06/20/2024 10:09 PM,5,0,0
3,0,1,2,1,a3a62566-a135-11e9-9cda-0a87ae2ba916,10,0.0,0.0,1,7,06/20/2024 10:09 PM,4,3,0
9,0,1,1,1,a3af460f-a135-11e9-9cda-0a87ae2ba916,0,0.0,1.0,1,17,06/20/2024 10:09 PM,8,9,0
4,0,1,1,1,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,10,06/20/2024 10:09 PM,6,3,0
4,0,1,0,1,a3b222fc-a135-11e9-9cda-0a87ae2ba916,0,0.0,0.0,1,11,06/20/2024 10:09 PM,7,4,0
0,0,1,0,1,a3aae35a-a135-11e9-9cda-0a87ae2ba916,7,0.0,0.0,1,8,06/20/2024 10:09 PM,8,0,0
2,0,1,1,1,a3a62aad-a135-11e9-9cda-0a87ae2ba916,1,0.0,2.0,1,15,06/20/2024 10:09 PM,13,2,2
0,0,1,4,1,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,13,06/20/2024 10:09 PM,13,0,0
0,0,1,4,1,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,6,06/20/2024 10:09 PM,6,1,0
