num_bikes_disabled,is_installed,num_bikes_available,num_ebikes_available,num_docks_disabled,num_docks_available,is_returning,is_renting,station_id,num_scooters_unavailable,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
1,1,2,0,0,8,1,1,a3b1d532-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,2,0,0
1,1,3,1,0,14,1,1,1850866657089146912,0.0,1.0,06/30/2024 06:09 PM,2,1,0
0,1,1,0,0,1,1,1,a3ab86b6-a135-11e9-9cda-0a87ae2ba916,0.0,21.0,06/30/2024 06:09 PM,1,0,21
0,1,5,0,0,13,1,1,a3a795d7-a135-11e9-9cda-0a87ae2ba916,1.0,0.0,06/30/2024 06:09 PM,5,0,0
0,1,4,2,0,11,1,1,1958859639339458778,0.0,0.0,06/30/2024 06:09 PM,2,2,0
1,1,11,0,0,3,1,1,1929538112769137066,0.0,0.0,06/30/2024 06:09 PM,11,0,0
3,1,7,5,0,5,1,1,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,2,5,0
1,1,15,14,0,2,1,1,a3af460f-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:09 PM,1,14,0
2,1,4,1,0,25,1,1,a3ad8072-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,3,1,0
0,1,6,1,0,9,1,1,1850868044363584392,0.0,0.0,06/30/2024 06:09 PM,5,1,0
1,1,11,1,1,3,1,1,4843d153-c725-4230-a4c7-402da6a62143,0.0,0.0,06/30/2024 06:09 PM,10,1,0
1,1,14,12,0,0,1,1,1942117929887056608,0.0,0.0,06/30/2024 06:09 PM,2,12,0
2,1,7,3,0,6,1,1,a3af8123-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,3,0
1,1,8,4,0,9,1,1,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,1.0,0.0,06/30/2024 06:09 PM,4,4,0
4,1,9,0,0,2,1,1,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,9,0,0
1,1,3,0,0,7,1,1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,3,0,0
3,1,6,1,0,6,1,1,1890605196211329420,0.0,0.0,06/30/2024 06:09 PM,5,1,0
0,1,8,0,0,5,1,1,a3aae35a-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,8,0,2
0,1,13,2,0,2,1,1,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,11,2,0
1,1,9,2,0,5,1,1,a3af9a83-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,7,2,0
0,1,6,1,0,5,1,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,1,0
1,1,9,7,0,5,1,1,1928792940289520096,0.0,0.0,06/30/2024 06:09 PM,2,7,0
0,1,5,1,0,6,1,1,a3b23785-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,1,0
3,1,4,2,0,15,1,1,a3af52bc-a135-11e9-9cda-0a87ae2ba916,1.0,0.0,06/30/2024 06:09 PM,2,2,0
5,1,0,0,0,6,1,1,a3acdae2-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,0,0,0
0,1,10,2,0,5,1,1,a3afb401-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,8,2,0
1,1,4,0,0,2,1,1,a3b20960-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,0,0
4,1,14,2,0,1,1,1,a3aabad8-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,12,2,0
0,1,7,0,0,12,1,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,0.0,4.0,06/30/2024 06:09 PM,7,0,4
2,1,6,1,0,7,1,1,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,1,0
0,1,9,5,0,6,1,1,a3b4399a-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,5,0
0,1,6,3,0,8,1,1,a3b477ac-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:09 PM,3,3,0
0,1,3,0,0,8,1,1,90011328-f7bd-4b7b-8f95-8204a0b50f27,0.0,0.0,06/30/2024 06:09 PM,2,0,0
1,1,16,2,0,2,1,1,a3a497b6-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,14,2,0
