num_bikes_disabled,is_renting,num_docks_disabled,num_ebikes_available,is_returning,station_id,num_bikes_available,num_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
0,1,0,10,1,1929905600854819414,11,3,1,1.0,0.0,07/05/2024 02:08 AM,1,10,0
2,1,0,0,1,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,5,4,1,0.0,0.0,07/05/2024 02:08 AM,5,0,0
3,1,0,0,1,430d5876-c44d-446e-ac53-065da9fb9c17,7,1,1,0.0,1.0,07/05/2024 02:08 AM,7,0,0
1,1,0,2,1,a3b3915a-a135-11e9-9cda-0a87ae2ba916,3,9,1,6.0,0.0,07/05/2024 02:08 AM,1,2,6
0,1,0,2,1,1958859639339458778,11,4,1,0.0,0.0,07/05/2024 02:08 AM,9,2,0
0,1,0,3,1,1882466626513795782,10,5,1,0.0,0.0,07/05/2024 02:08 AM,7,3,0
3,1,0,0,1,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,4,4,1,0.0,0.0,07/05/2024 02:08 AM,4,0,0
6,1,0,15,1,a3ab9119-a135-11e9-9cda-0a87ae2ba916,34,5,1,1.0,1.0,07/05/2024 02:08 AM,19,15,0
1,1,0,0,1,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,25,1,1,0.0,0.0,07/05/2024 02:08 AM,25,0,0
0,1,0,2,1,a3b481e1-a135-11e9-9cda-0a87ae2ba916,4,10,1,1.0,0.0,07/05/2024 02:08 AM,2,2,1
2,1,0,8,1,a3a75885-a135-11e9-9cda-0a87ae2ba916,21,0,1,0.0,0.0,07/05/2024 02:08 AM,13,8,0
1,1,0,1,1,a3a5de24-a135-11e9-9cda-0a87ae2ba916,6,7,1,1.0,0.0,07/05/2024 02:08 AM,5,1,0
1,1,0,3,1,4843d153-c725-4230-a4c7-402da6a62143,8,7,1,0.0,0.0,07/05/2024 02:08 AM,5,3,0
0,1,0,2,1,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,9,7,1,3.0,0.0,07/05/2024 02:08 AM,7,2,0
0,1,0,1,1,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,6,2,1,3.0,0.0,07/05/2024 02:08 AM,5,1,3
0,1,0,4,1,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,9,6,1,0.0,0.0,07/05/2024 02:08 AM,5,4,0
0,1,0,0,1,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,11,19,1,1.0,0.0,07/05/2024 02:08 AM,11,0,0
1,1,0,0,1,a3b29fae-a135-11e9-9cda-0a87ae2ba916,2,8,1,0.0,0.0,07/05/2024 02:08 AM,2,0,0
2,1,0,8,1,a3af2737-a135-11e9-9cda-0a87ae2ba916,11,1,1,1.0,1.0,07/05/2024 02:08 AM,3,8,0
0,1,0,6,1,1867616662773391950,9,6,1,0.0,0.0,07/05/2024 02:08 AM,3,6,0
0,1,0,3,1,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,7,0,1,0.0,0.0,07/05/2024 02:08 AM,4,3,0
5,1,0,2,1,a3b48c07-a135-11e9-9cda-0a87ae2ba916,5,8,1,1.0,0.0,07/05/2024 02:08 AM,3,2,0
0,1,0,1,1,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,15,15,1,0.0,1.0,07/05/2024 02:08 AM,14,1,0
0,1,0,1,1,a3b2905a-a135-11e9-9cda-0a87ae2ba916,11,0,1,0.0,0.0,07/05/2024 02:08 AM,10,1,0
1,1,0,1,1,a3af52bc-a135-11e9-9cda-0a87ae2ba916,7,14,1,1.0,0.0,07/05/2024 02:08 AM,6,1,0
0,1,0,1,1,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,9,2,1,0.0,0.0,07/05/2024 02:08 AM,8,1,0
1,1,2,0,1,94788869-1849-43f6-99e1-2eacbc3fab03,9,7,1,1.0,0.0,07/05/2024 02:08 AM,9,0,0
0,1,0,2,1,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,9,6,1,0.0,0.0,07/05/2024 02:08 AM,7,2,0
0,1,0,2,1,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,13,1,1,1.0,0.0,07/05/2024 02:08 AM,11,2,1
5,1,0,0,1,a3aabad8-a135-11e9-9cda-0a87ae2ba916,9,5,1,0.0,0.0,07/05/2024 02:08 AM,9,0,0
3,1,0,3,1,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,5,7,1,0.0,0.0,07/05/2024 02:08 AM,2,3,0
4,1,0,2,1,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,5,6,1,0.0,0.0,07/05/2024 02:08 AM,3,2,0
2,1,0,1,1,a3a97a01-a135-11e9-9cda-0a87ae2ba916,5,8,1,0.0,0.0,07/05/2024 02:08 AM,4,1,0
0,1,0,0,1,a3a547b8-a135-11e9-9cda-0a87ae2ba916,6,9,1,0.0,0.0,07/05/2024 02:08 AM,6,0,0
1,1,0,1,1,da9e6779-5056-4d45-bae3-9dc325ed2807,9,1,1,0.0,0.0,07/05/2024 02:08 AM,8,1,0
0,1,0,4,1,1936582560225114270,7,8,1,0.0,0.0,07/05/2024 02:08 AM,3,4,0
0,1,0,1,1,1869054242749504212,4,11,1,0.0,0.0,07/05/2024 02:08 AM,3,1,0
1,1,0,4,1,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,8,6,1,0.0,0.0,07/05/2024 02:08 AM,4,4,0
2,1,0,3,1,a3b24701-a135-11e9-9cda-0a87ae2ba916,6,3,1,0.0,0.0,07/05/2024 02:08 AM,3,3,0
3,1,0,1,1,1879436840905128284,2,10,1,0.0,0.0,07/05/2024 02:08 AM,1,1,0
4,1,0,0,1,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,3,4,1,0.0,0.0,07/05/2024 02:08 AM,3,0,0
0,1,0,0,1,1850868044363584392,1,14,1,0.0,0.0,07/05/2024 02:08 AM,1,0,0
1,1,0,2,1,a3af9a83-a135-11e9-9cda-0a87ae2ba916,12,2,1,0.0,0.0,07/05/2024 02:08 AM,10,2,0
2,1,0,5,1,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,8,5,1,0.0,0.0,07/05/2024 02:08 AM,3,5,0
1,1,0,2,1,732c9f35-0c82-4128-acc3-2cf447298b1d,10,4,1,0.0,0.0,07/05/2024 02:08 AM,8,2,0
0,1,0,8,1,1928792940289520096,10,4,1,1.0,0.0,07/05/2024 02:08 AM,2,8,0
0,1,0,0,1,a60781db-2bec-4a15-a4a2-363297aefcec,9,6,1,0.0,0.0,07/05/2024 02:08 AM,9,0,0
1,1,0,2,1,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,13,1,1,0.0,0.0,07/05/2024 02:08 AM,11,2,0
0,1,0,0,1,1943245395846580390,5,10,1,0.0,0.0,07/05/2024 02:08 AM,5,0,0
0,1,0,3,1,a3b13836-a135-11e9-9cda-0a87ae2ba916,5,0,1,6.0,0.0,07/05/2024 02:08 AM,2,3,0
